Data export from TecQuipment CE2000

Data series 1

    Time       T1       T2 heater input 
    50.36    2.700    2.545    1.000
    50.42    2.700    2.545    1.000
    50.49    2.700    2.545    1.000
    50.56    2.700    2.550    1.000
    50.62    2.700    2.550    1.000
    50.69    2.700    2.550    1.000
    50.75    2.700    2.550    1.000
    50.82    2.700    2.550    1.000
    50.89    2.700    2.550    1.000
    50.95    2.700    2.550    1.000
    51.02    2.700    2.550    1.000
    51.08    2.705    2.550    1.000
    51.15    2.700    2.550    1.000
    51.22    2.700    2.550    1.000
    51.28    2.705    2.550    1.000
    51.35    2.705    2.550    1.000
    51.41    2.705    2.550    1.000
    51.48    2.705    2.550    1.000
    51.55    2.705    2.550    1.000
    51.61    2.705    2.550    1.000
    51.68    2.705    2.550    1.000
    51.74    2.705    2.550    1.000
    51.81    2.705    2.550    1.000
    51.88    2.705    2.550    1.000
    51.94    2.705    2.550    1.000
    52.01    2.705    2.550    1.000
    52.07    2.705    2.550    1.000
    52.14    2.705    2.550    1.000
    52.21    2.705    2.550    1.000
    52.27    2.705    2.550    1.000
    52.34    2.705    2.550    1.000
    52.40    2.705    2.555    1.000
    52.47    2.705    2.550    1.000
    52.54    2.705    2.555    1.000
    52.60    2.705    2.555    1.000
    52.67    2.710    2.555    1.000
    52.73    2.710    2.555    1.000
    52.80    2.710    2.555    1.000
    52.87    2.710    2.555    1.000
    52.93    2.710    2.555    1.000
    53.00    2.710    2.555    1.000
    53.06    2.710    2.555    1.000
    53.13    2.710    2.555    1.000
    53.20    2.710    2.555    1.000
    53.26    2.710    2.555    1.000
    53.33    2.710    2.555    1.000
    53.39    2.710    2.555    1.000
