Data export from TecQuipment CE2000

Data series 2

    Time       T1  shutter setpoint   PI o/p 
    57.10    5.545    0.000    5.000   55.572
    57.20    5.550    0.000    5.000   55.351
    57.30    5.550    0.000    5.000   55.279
    57.40    5.555    0.000    5.000   55.057
    57.50    5.560    0.000    5.000   54.835
    57.60    5.565    0.000    5.000   54.611
    57.70    5.565    0.000    5.000   54.538
    57.80    5.570    0.000    5.000   54.314
    57.90    5.575    0.000    5.000   54.089
    58.00    5.580    0.000    5.000   53.863
    58.10    5.585    0.000    5.000   53.637
    58.20    5.585    0.000    5.000   53.561
    58.30    5.590    0.000    5.000   53.335
    58.40    5.595    0.000    5.000   53.107
    58.50    5.600    0.000    5.000   52.879
    58.60    5.605    0.000    5.000   52.651
    58.70    5.610    0.000    5.000   52.421
    58.80    5.610    0.000    5.000   52.342
    58.90    5.615    0.000    5.000   52.112
    59.00    5.620    0.000    5.000   51.881
    59.10    5.625    0.000    5.000   51.650
    59.20    5.625    0.000    5.000   51.569
    59.30    5.630    0.000    5.000   51.337
    59.40    5.635    0.000    5.000   51.104
    59.50    5.640    0.000    5.000   50.871
    59.60    5.640    0.000    5.000   50.788
    59.70    5.645    0.000    5.000   50.554
    59.80    5.650    0.000    5.000   50.320
    59.90    5.655    0.000    5.000   50.085
    60.00    5.660    0.000    5.000   49.849
    60.10    5.660    0.000    5.000   49.763
    60.20    5.665    0.000    5.000   49.527
    60.30    5.670    0.000    5.000   49.289
    60.40    5.675    0.000    5.000   49.052
    60.50    5.675    0.000    5.000   48.964
    60.60    5.680    0.000    5.000   48.726
    60.70    5.685    0.000    5.000   48.487
    60.80    5.690    0.000    5.000   48.247
    60.90    5.695    0.000    5.000   48.006
    61.00    5.695    0.000    5.000   47.916
    61.10    5.700    0.000    5.000   47.675
    61.20    5.705    0.000    5.000   47.433
    61.30    5.710    0.000    5.000   47.191
    61.40    5.710    0.000    5.000   47.099
    61.50    5.715    0.000    5.000   46.856
    61.60    5.720    0.000    5.000   46.612
    61.70    5.725    0.000    5.000   46.368
    61.80    5.730    0.000    5.000   46.123
    61.90    5.735    0.000    5.000   45.878
    62.00    5.735    0.000    5.000   45.782
    62.10    5.740    0.000    5.000   45.536
    62.20    5.745    0.000    5.000   45.289
    62.30    5.750    0.000    5.000   45.041
    62.40    5.755    0.000    5.000   44.793
    62.50    5.760    0.000    5.000   44.545
    62.60    5.765    0.000    5.000   44.295
    62.70    5.765    0.000    5.000   44.196
    62.80    5.770    0.000    5.000   43.946
    62.90    5.775    0.000    5.000   43.695
    63.00    5.780    0.000    5.000   43.443
    63.10    5.780    0.000    5.000   43.342
    63.20    5.785    0.000    5.000   43.090
    63.30    5.790    0.000    5.000   42.837
    63.40    5.795    0.000    5.000   42.584
    63.50    5.800    0.000    5.000   42.330
    63.60    5.800    0.000    5.000   42.226
    63.70    5.805    0.000    5.000   41.971
    63.80    5.810    0.000    5.000   41.716
    63.90    5.815    0.000    5.000   41.460
    64.00    5.815    0.000    5.000   41.354
    64.10    5.820    0.000    5.000   41.097
    64.20    5.825    0.000    5.000   40.840
    64.30    5.830    0.000    5.000   40.582
    64.40    5.830    0.000    5.000   40.474
    64.50    5.835    0.000    5.000   40.216
    64.60    5.840    0.000    5.000   39.957
    64.70    5.840    0.000    5.000   39.847
    64.80    5.845    0.000    5.000   39.588
    64.90    5.850    0.000    5.000   39.327
    65.00    5.855    0.000    5.000   39.066
    65.10    5.855    0.000    5.000   38.955
    65.20    5.860    0.000    5.000   38.693
    65.30    5.865    0.000    5.000   38.431
